D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_41_640.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_41_640.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_41_640.jpg,0,0,0,9.512295
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_41_706.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_41_706.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_41_706.jpg,0,0,0,9.435834
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_41_795.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_41_795.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_41_795.jpg,0,0,0,9.359987
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_41_864.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_41_864.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_41_864.jpg,0,0,0,9.284751
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_41_962.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_41_962.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_41_962.jpg,0,0.0808317,0,9.22343
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_42_025.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_42_025.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_42_025.jpg,0,0.28338,0,9.364524
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_42_107.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_42_107.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_42_107.jpg,0,0.5282862,0,9.704336
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_42_189.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_42_189.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_42_189.jpg,0,0.7782741,0,10.26926
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_42_262.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_42_262.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_42_262.jpg,0,0.9944394,0,11.07934
D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\center_2019_12_30_10_39_42_343.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\left_2019_12_30_10_39_42_343.jpg,D:\Work\AI and ML\Self Driving Car\sdc_data\Track 2\IMG\right_2019_12_30_10_39_42_343.jpg,0,1,0,12.08513
